,Number,"City,CountryCode",Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,1,"bacolod, ph",79.83,87,76,15.73
1,2,"leavenworth, us",71.51,31,1,8.05
2,3,"garowe, so",77.22,57,56,17.07
3,4,"panama city, us",77.95,94,1,3.36
4,5,"atuona, pf",79.65,100,0,19.75
5,6,"clyde river, ca",42.8,81,1,8.05
6,7,"qaanaaq, gl",37.62,95,56,2.42
7,8,"labuhan, id",83.43,71,8,3.53
8,9,"kosikha, ru",68.76,79,0,6.55
9,10,"ugoofaaru, mv",82.26,100,20,7.23
10,11,"acapulco, mx",78.8,94,90,6.93
11,12,"tiksi, ru",60.03,71,0,12.15
12,13,"bluff, nz",47.52,100,56,1.52
13,14,"hermanus, za",42.66,100,36,3.09
14,15,"port alfred, za",57.78,100,92,16.06
15,16,"lerwick, gb",52.7,71,64,14.99
16,17,"matagami, ca",66.2,72,20,6.93
17,18,"bonnyville, ca",68.0,68,75,4.7
18,19,"kainantu, pg",67.05,90,88,1.74
19,20,"romny, ru",73.71,83,68,4.65
20,21,"cape town, za",51.8,93,0,10.29
21,22,"yellowknife, ca",57.2,54,40,6.93
22,23,"bosobolo, cd",67.41,95,88,4.65
23,24,"avarua, ck",77.0,78,40,16.11
24,25,"rikitea, pf",74.79,99,32,13.71
25,26,"urazovo, ru",65.07,78,24,2.75
26,27,"victoria, sc",78.8,83,40,17.22
27,28,"abu zabad, sd",68.49,97,36,3.2
28,29,"hobart, au",60.8,51,75,13.87
29,30,"butaritari, ki",84.06,100,44,5.21
30,31,"meiktila, mm",80.55,87,64,8.57
31,32,"atar, mr",77.76,33,20,4.99
32,33,"saskylakh, ru",57.42,68,0,15.73
33,34,"fortuna, us",57.2,87,90,6.93
34,35,"bambous virieux, mu",71.6,64,40,8.05
35,36,"luanda, ao",68.0,88,40,3.36
36,37,"pahrump, us",97.83,5,1,11.41
37,38,"saint george, bm",80.6,74,40,11.41
38,39,"hit, iq",80.64,36,0,8.01
39,40,"new norfolk, au",60.8,51,75,13.87
40,41,"carnarvon, au",64.35,88,0,15.73
41,42,"bathsheba, bb",80.6,83,20,12.75
42,43,"mar del plata, ar",47.88,67,92,0.4
43,44,"busselton, au",58.86,100,68,21.32
44,45,"georgetown, sh",76.14,100,24,16.96
45,46,"vaini, to",71.6,64,75,13.87
46,47,"saint-philippe, re",66.09,56,20,6.93
47,48,"houma, us",78.87,83,1,3.36
48,49,"ushuaia, ar",33.8,86,40,23.04
49,50,"palmer, us",68.59,63,90,10.29
50,51,"cherskiy, ru",56.97,47,0,5.99
51,52,"iwanai, jp",70.56,92,0,3.87
52,53,"saldanha, za",55.4,93,92,8.05
53,54,"rio grande, br",55.08,98,92,16.51
54,55,"sao joao da barra, br",69.48,100,76,14.16
55,56,"boyolangu, id",81.09,50,0,11.25
56,57,"maiduguri, ng",70.11,100,92,6.89
57,58,"boa vista, br",75.2,94,75,2.24
58,59,"porto novo, cv",75.2,78,40,13.87
59,60,"shizukuishi, jp",75.61,100,75,2.24
60,61,"arraial do cabo, br",67.86,100,32,1.41
61,62,"bull savanna, jm",73.08,87,0,3.42
62,63,"punta arenas, cl",33.8,74,75,16.11
63,64,"vanavara, ru",61.2,69,0,7.67
64,65,"pacific grove, us",66.49,41,1,8.05
65,66,"mandalgovi, mn",62.37,100,92,12.26
66,67,"khatanga, ru",50.31,87,32,23.89
67,68,"hyderabad, in",78.8,83,75,11.41
68,69,"san policarpo, ph",85.41,87,32,15.05
69,70,"yerbogachen, ru",61.02,63,8,6.67
70,71,"methoni, gr",71.6,56,0,6.93
71,72,"nueve de julio, ar",39.78,81,80,3.2
72,73,"chulman, ru",55.62,71,0,6.22
73,74,"jamestown, sh",67.59,100,64,7.67
74,75,"fairbanks, us",66.16,68,90,5.82
75,76,"ust-kuyga, ru",64.71,60,0,9.69
76,77,"ponta do sol, pt",71.6,83,20,4.7
77,78,"provideniya, ru",47.07,100,100,22.32
78,79,"wajir, ke",73.4,78,0,3.36
79,80,"leningradskiy, ru",35.01,100,76,5.77
80,81,"jian, cn",90.99,73,32,4.21
81,82,"fomboni, km",77.76,100,0,9.46
82,83,"katsuura, jp",93.2,59,20,9.17
83,84,"albany, au",51.66,81,92,17.4
84,85,"luderitz, na",48.87,92,12,3.42
85,86,"suez, eg",72.45,89,0,2.75
86,87,"ishigaki, jp",87.8,74,20,10.29
87,88,"faanui, pf",78.48,100,56,15.95
88,89,"salalah, om",75.2,100,90,4.7
89,90,"rangoon, mm",84.2,83,75,6.93
90,91,"mao, td",74.52,90,44,9.24
91,92,"lompoc, us",64.99,52,1,4.7
92,93,"ribeira grande, pt",72.99,100,48,9.13
93,94,"yar-sale, ru",46.08,100,0,19.75
94,95,"bourail, nc",73.44,50,8,8.68
95,96,"kawalu, id",71.82,63,12,2.98
96,97,"tasiilaq, gl",43.65,100,32,2.98
97,98,"usvyaty, ru",65.52,86,68,8.9
98,99,"nantucket, us",72.72,100,90,10.29
99,100,"bredasdorp, za",48.2,93,44,3.36
100,101,"korla, cn",80.19,46,8,4.43
101,102,"inta, ru",46.71,89,92,4.09
102,103,"kapaa, us",82.17,83,90,17.22
103,104,"kaitangata, nz",47.34,83,68,3.98
104,105,"thompson, ca",53.6,81,90,11.41
105,106,"sept-iles, ca",57.2,100,20,2.24
106,107,"lazaro cardenas, mx",82.4,34,20,5.82
107,108,"samarai, pg",79.56,96,8,16.84
108,109,"east london, za",63.09,100,0,29.15
109,110,"medea, dz",73.4,78,20,2.24
110,111,"lucapa, ao",60.66,55,20,6.11
111,112,"shelburne, ca",68.76,88,1,3.53
112,113,"uyemskiy, ru",53.6,81,40,8.95
113,114,"ilhabela, br",67.14,100,48,3.42
114,115,"hovd, mn",75.96,29,0,3.09
115,116,"chuy, uy",52.74,97,92,16.28
116,117,"lagos, ng",77.0,83,20,2.24
117,118,"kachug, ru",60.57,73,92,3.42
118,119,"noumea, nc",73.4,49,0,16.11
119,120,"denizli, tr",59.0,100,0,2.75
120,121,"morant bay, jm",84.2,74,20,6.93
121,122,"coihaique, cl",43.57,87,0,6.93
122,123,"chokurdakh, ru",48.06,73,68,11.25
123,124,"beihai, cn",91.4,66,40,8.95
124,125,"ixtapa, mx",84.2,94,75,4.7
125,126,"kutum, sd",64.71,97,76,3.09
126,127,"santa vitoria do palmar, br",52.74,97,92,16.28
127,128,"port elizabeth, za",53.6,93,75,5.82
128,129,"talnakh, ru",52.83,68,92,7.78
129,130,"rawson, ar",51.57,48,76,8.46
130,131,"mashhad, ir",84.2,25,0,4.7
131,132,"half moon bay, us",70.45,93,1,5.82
132,133,"hithadhoo, mv",83.34,100,48,6.11
133,134,"areka, et",48.24,88,24,1.41
134,135,"vardo, no",54.9,98,92,5.77
135,136,"longyearbyen, sj",46.4,81,75,4.7
136,137,"tuatapere, nz",46.98,100,76,1.74
137,138,"duluth, us",69.78,94,40,10.29
138,139,"durban, za",69.21,99,0,22.32
139,140,"morondava, mg",61.29,97,0,6.44
140,141,"stromness, gb",54.59,87,92,6.93
141,142,"taoudenni, ml",82.08,44,76,2.98
142,143,"husavik, is",48.2,93,90,3.65
143,144,"ballina, ie",49.41,100,44,2.42
144,145,"tuktoyaktuk, ca",59.0,77,90,9.17
145,146,"jabinyanah, tn",73.4,69,20,2.24
146,147,"muros, es",69.8,88,0,4.7
147,148,"banda aceh, id",85.14,68,8,4.76
148,149,"latung, ph",82.08,100,68,13.6
149,150,"golden, us",77.45,21,1,9.17
150,151,"diego de almagro, cl",46.62,81,0,1.74
151,152,"dingle, ie",56.07,100,0,4.54
152,153,"praia da vitoria, pt",69.8,88,75,11.25
153,154,"srednekolymsk, ru",57.06,55,0,5.88
154,155,"hilo, us",73.2,83,90,5.82
155,156,"turayf, sa",75.2,57,0,6.93
156,157,"saint-augustin, ca",69.28,100,20,3.76
157,158,"ancud, cl",52.02,99,92,13.27
158,159,"tahoua, ne",72.45,94,12,7.45
159,160,"puerto ayora, ec",70.29,100,0,10.8
160,161,"norman wells, ca",60.8,93,90,2.24
161,162,"coquimbo, cl",46.4,100,0,4.7
162,163,"ilulissat, gl",43.11,87,8,4.09
163,164,"castro, cl",51.12,97,92,9.01
164,165,"stokmarknes, no",53.37,100,92,8.68
165,166,"nuuk, gl",41.0,100,36,6.93
166,167,"naze, jp",86.0,74,20,5.82
167,168,"mitu, co",72.54,96,0,1.97
168,169,"souillac, mu",71.6,64,40,8.05
169,170,"igarka, ru",52.56,95,48,13.82
170,171,"la sarre, ca",67.41,75,8,8.46
171,172,"isangel, vu",72.09,100,32,11.48
172,173,"mount gambier, au",56.34,65,92,12.03
173,174,"torbay, ca",55.4,87,90,5.82
174,175,"cumberland, ca",69.8,94,20,2.24
175,176,"viedma, ar",49.59,35,32,10.8
176,177,"itarema, br",76.05,84,0,13.94
177,178,"skelleftea, se",55.4,71,24,6.93
178,179,"eureka, us",57.2,87,90,6.93
179,180,"margate, za",62.82,82,0,14.83
180,181,"kahuta, pk",89.6,75,44,6.93
181,182,"vila franca do campo, pt",71.6,78,75,10.29
182,183,"westport, nz",52.65,78,12,2.3
183,184,"gallup, us",74.57,35,1,4.7
184,185,"sitka, us",86.22,38,8,15.84
185,186,"severo-kurilsk, ru",57.06,88,12,3.98
186,187,"gisborne, nz",53.82,96,100,22.88
187,188,"pedernales, do",80.73,99,12,9.35
188,189,"portland, au",54.54,62,0,4.76
189,190,"kavieng, pg",78.93,100,76,2.19
190,191,"lebu, cl",53.19,98,92,18.63
191,192,"marsh harbour, bs",84.51,95,100,14.05
192,193,"alta floresta, br",82.17,45,32,2.98
193,194,"karratha, au",66.96,33,0,15.28
194,195,"dikson, ru",42.39,98,88,15.28
195,196,"calabozo, ve",76.59,85,44,8.34
196,197,"austintown, us",71.35,88,1,2.19
197,198,"kununurra, au",87.8,23,0,8.05
198,199,"show low, us",78.3,49,1,6.93
199,200,"northam, au",53.6,66,90,11.41
200,201,"the valley, ai",82.4,74,40,13.87
201,202,"necochea, ar",41.04,81,20,3.98
202,203,"bethel, us",60.8,72,90,16.11
203,204,"barrow, us",77.86,69,1,12.75
204,205,"moba, cd",61.02,92,0,6.22
205,206,"ponta do sol, cv",74.16,100,32,14.83
206,207,"koslan, ru",53.01,82,24,2.53
207,208,"sechura, pe",66.51,88,36,14.5
208,209,"kodiak, us",77.0,69,1,5.82
209,210,"nikolskoye, ru",64.4,88,20,2.24
210,211,"kuju, in",80.6,78,75,5.82
211,212,"kruisfontein, za",54.99,100,36,5.88
212,213,"mala, pe",59.94,100,56,8.12
213,214,"hokitika, nz",54.27,85,8,0.74
214,215,"tarko-sale, ru",48.69,98,92,22.66
215,216,"sao sebastiao, br",75.06,92,12,3.42
216,217,"alofi, nu",75.2,69,64,12.75
217,218,"bilibino, ru",59.49,53,0,3.09
218,219,"narrabri, au",68.31,46,0,8.79
219,220,"san cristobal, ec",62.73,99,80,2.3
220,221,"lashio, mm",71.01,99,92,1.97
221,222,"pevek, ru",44.19,97,8,10.58
222,223,"luxor, eg",82.4,37,0,2.64
223,224,"powell river, ca",76.03,44,40,2.24
224,225,"hamilton, bm",80.6,74,40,11.41
225,226,"sarangani, ph",84.69,95,76,7.45
226,227,"cap malheureux, mu",71.6,64,40,8.05
227,228,"bahile, ph",80.6,83,90,6.93
228,229,"yumen, cn",79.56,44,68,4.76
229,230,"peleduy, ru",61.11,59,0,3.87
230,231,"havoysund, no",51.8,87,92,6.93
231,232,"vao, nc",68.49,100,0,10.8
232,233,"ahipara, nz",56.79,85,12,10.69
233,234,"shobara, jp",91.42,59,20,6.93
234,235,"olga, ru",64.62,82,68,2.98
235,236,"aklavik, ca",60.8,67,90,3.36
236,237,"charters towers, au",73.17,81,0,10.8
237,238,"henties bay, na",49.14,100,0,7.67
238,239,"vyselki, ru",65.34,78,0,2.53
239,240,"leeton, au",58.14,86,32,14.16
240,241,"whitehorse, ca",69.8,46,75,14.99
241,242,"esperance, au",50.67,94,92,17.52
242,243,"mazagao, br",80.6,94,20,5.82
243,244,"mattawa, ca",69.8,77,90,6.93
244,245,"aljezur, pt",73.71,78,0,3.98
245,246,"grand gaube, mu",71.6,64,40,8.05
246,247,"vasai, in",78.93,86,92,14.05
247,248,"lavrentiya, ru",45.81,98,92,13.49
248,249,"ouadda, cf",67.23,99,92,3.76
249,250,"alyangula, au",80.91,84,8,7.23
250,251,"te anau, nz",46.8,86,0,3.42
251,252,"kasongo-lunda, cd",66.15,94,8,2.08
252,253,"montero, bo",51.8,93,90,16.11
253,254,"thinadhoo, mv",82.44,100,0,7.56
254,255,"vondrozo, mg",53.91,86,32,0.96
255,256,"binzhou, cn",87.84,87,44,6.67
256,257,"geraldton, au",59.0,72,75,12.75
257,258,"nyurba, ru",62.28,42,0,5.99
258,259,"mitsamiouli, km",69.8,94,20,5.82
259,260,"inhambane, mz",66.69,100,0,13.38
260,261,"rockland, us",71.22,100,90,4.76
261,262,"san juan, us",84.13,66,1,11.41
262,263,"abu kamal, sy",81.09,41,0,8.01
263,264,"cidreira, br",53.19,95,20,16.84
264,265,"yeppoon, au",80.6,47,40,5.82
265,266,"cairns, au",82.4,51,20,14.99
266,267,"kahului, us",79.97,74,40,20.8
267,268,"san patricio, mx",78.48,88,80,2.42
268,269,"pagudpud, ph",87.8,74,20,4.7
269,270,"black river, jm",82.4,74,20,4.7
270,271,"olhao, pt",78.8,54,0,4.7
271,272,"vestmannaeyjar, is",49.86,98,88,9.13
272,273,"namatanai, pg",78.12,100,92,2.3
273,274,"xining, cn",64.71,81,24,2.08
274,275,"pangnirtung, ca",40.59,84,24,2.98
275,276,"pontian kecil, my",85.1,74,75,9.17
276,277,"ostrovnoy, ru",49.32,78,88,6.89
277,278,"sai buri, th",87.8,62,20,4.7
278,279,"teya, ru",59.04,84,100,6.44
279,280,"pisco, pe",62.6,82,90,4.7
280,281,"olinda, br",68.59,88,75,6.93
281,282,"benito juarez, mx",94.95,46,68,7.56
282,283,"kupang, id",86.0,58,75,18.34
283,284,"klaksvik, fo",48.2,93,76,6.93
284,285,"gongzhuling, cn",75.42,69,32,7.45
285,286,"birjand, ir",78.8,37,0,4.7
286,287,"vila velha, br",78.8,83,40,12.75
287,288,"yazoo city, us",77.14,100,1,6.67
288,289,"kodinar, in",77.04,96,92,13.27
289,290,"harper, lr",77.04,100,0,10.36
290,291,"pimentel, pe",62.6,88,75,13.87
291,292,"port hedland, au",77.0,27,0,13.87
292,293,"kingaroy, au",71.82,69,0,9.13
293,294,"hami, cn",84.69,56,0,4.99
294,295,"gulbene, lv",62.46,95,12,7.45
295,296,"stephenville, ca",66.2,93,75,4.7
296,297,"camacha, pt",71.6,83,75,14.99
297,298,"rocha, uy",49.23,96,76,10.36
298,299,"manuk mangkaw, ph",84.69,95,68,16.84
299,300,"merritt, ca",76.23,53,1,2.08
300,301,"port hardy, ca",64.4,68,75,8.05
301,302,"wasilla, us",68.58,60,90,4.7
302,303,"mount isa, au",86.0,20,8,9.17
303,304,"shenjiamen, cn",85.05,91,12,13.94
304,305,"batagay-alyta, ru",63.99,66,44,3.87
305,306,"yangambi, cd",67.68,100,68,4.99
306,307,"umm kaddadah, sd",65.97,98,12,2.64
307,308,"nisia floresta, br",77.0,78,20,9.17
308,309,"sambava, mg",72.54,100,36,19.86
309,310,"nsanje, mw",60.48,94,0,4.09
310,311,"huilong, cn",86.4,75,76,3.76
311,312,"broken hill, au",65.16,48,0,24.11
312,313,"jalu, ly",78.84,54,0,9.8
313,314,"riberalta, bo",70.38,98,64,2.53
314,315,"stornoway, gb",54.99,100,92,12.48
315,316,"huarmey, pe",53.73,90,8,2.86
316,317,"constitucion, cl",48.24,95,0,6.22
317,318,"marawi, sd",83.97,57,0,10.8
318,319,"sisimiut, gl",41.13,99,92,2.53
319,320,"mizan teferi, et",60.39,88,44,2.75
320,321,"mackay, au",77.0,65,0,9.17
321,322,"weligama, lk",76.68,100,44,11.36
322,323,"pudozh, ru",62.64,99,68,8.34
323,324,"alice springs, au",71.6,14,0,9.17
324,325,"rio gallegos, ar",28.4,79,0,9.17
325,326,"prince rupert, ca",60.8,82,1,6.93
326,327,"benguela, ao",66.06,98,32,5.66
327,328,"taft, us",82.02,74,1,10.29
328,329,"upernavik, gl",40.95,90,12,5.77
329,330,"kurchum, kz",67.32,95,24,4.21
330,331,"isla vista, us",67.01,52,1,4.7
331,332,"sarankhola, bd",81.09,100,88,3.98
332,333,"touros, br",76.59,87,88,12.37
333,334,"antofagasta, cl",57.2,67,90,6.93
334,335,"verkhoyansk, ru",70.29,53,32,4.21
335,336,"inyonga, tz",57.69,45,0,6.11
336,337,"kaeo, nz",58.14,63,12,13.15
337,338,"shebalino, ru",60.48,82,0,2.86
338,339,"turukhansk, ru",50.22,97,88,17.29
339,340,"paamiut, gl",41.13,97,80,7.23
340,341,"kiama, au",68.0,30,0,10.29
341,342,"dakar, sn",79.11,100,36,14.27
342,343,"spanish town, jm",84.2,74,20,6.93
343,344,"pervomayskiy, ru",69.75,68,0,5.99
344,345,"pueblo, us",73.45,48,90,20.8
345,346,"medzilaborce, sk",60.48,89,32,2.19
346,347,"guerrero negro, mx",74.34,79,0,9.35
347,348,"nhulunbuy, au",86.0,51,90,10.29
348,349,"gushikawa, jp",88.59,66,20,6.93
349,350,"sola, vu",80.28,90,0,14.5
350,351,"iqaluit, ca",44.6,70,90,6.93
351,352,"axim, gh",75.69,100,88,10.13
352,353,"corrales, pe",25.29,58,0,4.76
353,354,"bataipora, br",64.89,98,92,3.76
354,355,"yenagoa, ng",70.92,89,20,6.67
355,356,"caldwell, us",78.8,25,1,5.82
356,357,"lagoa, pt",78.8,54,0,4.7
357,358,"salinas, ec",45.18,100,20,1.74
358,359,"taltal, cl",46.08,89,0,3.31
359,360,"plettenberg bay, za",54.36,100,92,5.55
360,361,"ngunguru, nz",59.04,96,0,17.85
361,362,"salur, in",86.31,66,8,5.99
362,363,"aranos, na",54.27,46,0,7.56
363,364,"bari, it",68.34,88,0,4.7
364,365,"aksu, kz",64.4,59,40,8.95
365,366,"kolobrzeg, pl",67.59,88,24,7.78
366,367,"mahebourg, mu",71.6,64,40,8.05
367,368,"honiara, sb",91.4,55,20,13.87
368,369,"aden, ye",77.58,99,56,15.73
369,370,"boddam, gb",55.4,93,56,4.7
370,371,"roma, au",72.72,70,0,11.81
371,372,"marsa matruh, eg",73.4,94,20,5.82
372,373,"hambantota, lk",81.09,95,24,17.18
373,374,"trani, it",71.6,88,0,4.7
374,375,"nanortalik, gl",41.76,99,92,4.09
375,376,"flinders, au",68.0,30,0,10.29
376,377,"la rioja, ar",47.52,83,0,4.54
377,378,"oktyabrskiy, ru",64.85,77,0,4.47
378,379,"cedar city, us",80.6,30,1,8.05
379,380,"ilo, pe",52.92,100,32,0.63
380,381,"murray bridge, au",58.86,83,20,20.65
381,382,"peniche, pt",84.2,28,0,2.24
